timestamp,hour,day_of_week,occupancy,electricity_usage,water_usage,waste_generated
2024-01-04 14:00:00,14,3,0.83,83.1,12.66,12.83
2024-01-04 15:00:00,15,3,0.73,71.92,15.23,10.79
2024-01-04 16:00:00,16,3,0.7,62.61,10.3,9.09
2024-01-04 17:00:00,17,3,0.85,59.98,8.33,13.45
2024-01-04 18:00:00,18,3,0.79,49.48,21.1,0.0
2024-01-04 19:00:00,19,3,0.16,42.9,26.98,14.45
2024-01-04 20:00:00,20,3,0.16,40.37,31.41,13.92
2024-01-04 21:00:00,21,3,0.16,29.19,31.38,15.01
2024-01-04 22:00:00,22,3,0.19,25.19,21.33,14.01
2024-01-04 23:00:00,23,3,0.11,26.7,12.19,16.81
2024-01-05 00:00:00,0,4,0.2,21.12,12.99,4.04
2024-01-05 01:00:00,1,4,0.18,9.13,9.56,8.49
2024-01-05 02:00:00,2,4,0.16,26.45,11.81,6.87
2024-01-05 03:00:00,3,4,0.18,29.69,8.61,6.95
2024-01-05 04:00:00,4,4,0.11,36.62,10.11,7.51
2024-01-05 05:00:00,5,4,0.2,44.44,14.46,6.24
2024-01-05 06:00:00,6,4,0.14,47.07,22.42,6.27
2024-01-05 07:00:00,7,4,0.15,63.65,25.39,10.6
2024-01-05 08:00:00,8,4,0.89,67.04,35.54,10.66
2024-01-05 09:00:00,9,4,0.85,75.04,29.42,9.22
2024-01-05 10:00:00,10,4,0.78,81.9,16.06,9.38
2024-01-05 11:00:00,11,4,0.84,81.9,10.68,9.88
2024-01-05 12:00:00,12,4,0.79,86.33,6.56,14.71
2024-01-05 13:00:00,13,4,0.85,77.54,10.16,11.73
2024-01-05 14:00:00,14,4,0.83,70.81,12.06,8.5
2024-01-05 15:00:00,15,4,0.88,74.28,8.56,14.04
2024-01-05 16:00:00,16,4,0.82,66.83,7.49,13.67
2024-01-05 17:00:00,17,4,0.72,51.91,14.7,11.31
2024-01-05 18:00:00,18,4,0.82,49.68,19.48,0.0
2024-01-05 19:00:00,19,4,0.19,46.33,26.64,13.84
2024-01-05 20:00:00,20,4,0.15,33.21,39.57,11.68
2024-01-05 21:00:00,21,4,0.19,29.87,36.45,13.3
2024-01-05 22:00:00,22,4,0.12,20.3,15.36,12.36
2024-01-05 23:00:00,23,4,0.15,29.4,15.36,12.54
2024-01-06 00:00:00,0,5,0.15,20.29,7.82,2.6
2024-01-06 01:00:00,1,5,0.19,16.99,7.35,9.45
2024-01-06 02:00:00,2,5,0.11,13.25,7.79,6.48
2024-01-06 03:00:00,3,5,0.12,17.53,6.06,10.32
2024-01-06 04:00:00,4,5,0.14,22.53,3.55,6.74
2024-01-06 05:00:00,5,5,0.12,33.92,10.87,12.47
2024-01-06 06:00:00,6,5,0.18,33.99,17.92,9.39
2024-01-06 07:00:00,7,5,0.1,40.11,17.58,8.77
2024-01-06 08:00:00,8,5,0.4,38.76,28.72,11.83
2024-01-06 09:00:00,9,5,0.33,49.16,17.36,11.23
2024-01-06 10:00:00,10,5,0.45,50.36,16.16,14.66
2024-01-06 11:00:00,11,5,0.4,51.71,7.25,16.45
2024-01-06 12:00:00,12,5,0.42,58.67,7.03,13.44
2024-01-06 13:00:00,13,5,0.37,50.71,6.56,15.35
2024-01-06 14:00:00,14,5,0.38,47.07,14.72,14.76
2024-01-06 15:00:00,15,5,0.5,42.09,7.58,15.73
2024-01-06 16:00:00,16,5,0.38,45.22,7.38,14.03
2024-01-06 17:00:00,17,5,0.36,39.96,6.22,17.03
2024-01-06 18:00:00,18,5,0.41,41.59,22.95,0.0
2024-01-06 19:00:00,19,5,0.18,22.83,26.26,16.0
2024-01-06 20:00:00,20,5,0.11,28.73,26.63,22.5
2024-01-06 21:00:00,21,5,0.12,27.39,22.68,17.09
2024-01-06 22:00:00,22,5,0.12,12.73,11.45,23.37
2024-01-06 23:00:00,23,5,0.13,9.96,12.32,21.78
2024-01-07 00:00:00,0,6,0.14,22.6,12.21,6.76
2024-01-07 01:00:00,1,6,0.11,16.5,7.22,9.82
2024-01-07 02:00:00,2,6,0.13,18.29,8.38,5.5
2024-01-07 03:00:00,3,6,0.16,20.27,1.88,6.45
2024-01-07 04:00:00,4,6,0.18,25.07,11.72,7.89
2024-01-07 05:00:00,5,6,0.15,25.09,7.6,10.98
2024-01-07 06:00:00,6,6,0.13,34.48,16.08,11.21
2024-01-07 07:00:00,7,6,0.16,41.27,18.99,13.0
2024-01-07 08:00:00,8,6,0.43,50.17,20.59,12.48
2024-01-07 09:00:00,9,6,0.42,43.79,16.55,9.75
2024-01-07 10:00:00,10,6,0.4,58.2,15.41,14.04
2024-01-07 11:00:00,11,6,0.36,51.77,6.83,13.03
2024-01-07 12:00:00,12,6,0.43,53.04,10.27,14.56
2024-01-07 13:00:00,13,6,0.33,55.52,6.0,15.14
2024-01-07 14:00:00,14,6,0.41,57.61,9.86,13.2
2024-01-07 15:00:00,15,6,0.37,55.09,6.37,14.5
2024-01-07 16:00:00,16,6,0.5,47.75,7.86,17.18
2024-01-07 17:00:00,17,6,0.44,34.65,12.75,19.94
2024-01-07 18:00:00,18,6,0.32,35.56,16.5,0.0
2024-01-07 19:00:00,19,6,0.12,38.64,19.37,18.08
2024-01-07 20:00:00,20,6,0.18,29.18,27.78,16.43
2024-01-07 21:00:00,21,6,0.1,23.54,26.27,21.35
2024-01-07 22:00:00,22,6,0.16,8.41,15.91,23.64
2024-01-07 23:00:00,23,6,0.19,18.41,15.37,22.61
2024-01-08 00:00:00,0,0,0.1,17.33,7.91,7.59
2024-01-08 01:00:00,1,0,0.2,22.6,8.16,3.0
2024-01-08 02:00:00,2,0,0.11,24.41,5.45,5.17
2024-01-08 03:00:00,3,0,0.15,27.9,9.94,4.61
2024-01-08 04:00:00,4,0,0.12,34.17,9.87,7.85
2024-01-08 05:00:00,5,0,0.12,41.81,10.12,8.1
2024-01-08 06:00:00,6,0,0.15,47.52,18.99,8.24
2024-01-08 07:00:00,7,0,0.14,59.24,23.12,6.41
2024-01-08 08:00:00,8,0,0.83,63.03,30.33,10.69
2024-01-08 09:00:00,9,0,0.9,75.41,29.78,10.31
2024-01-08 10:00:00,10,0,0.87,68.37,12.87,10.98
2024-01-08 11:00:00,11,0,0.83,82.25,10.38,12.08
2024-01-08 12:00:00,12,0,0.8,85.09,6.82,11.1
2024-01-08 13:00:00,13,0,0.74,86.11,8.86,8.88
2024-01-08 14:00:00,14,0,0.86,74.96,10.35,13.19
2024-01-08 15:00:00,15,0,0.84,55.55,7.45,12.2
2024-01-08 16:00:00,16,0,0.89,62.03,11.74,12.23
2024-01-08 17:00:00,17,0,0.74,51.45,9.22,13.69
2024-01-08 18:00:00,18,0,0.89,38.4,14.31,0.0
2024-01-08 19:00:00,19,0,0.14,44.56,30.09,11.46
2024-01-08 20:00:00,20,0,0.14,33.14,40.06,11.31
2024-01-08 21:00:00,21,0,0.13,26.18,28.48,13.81
2024-01-08 22:00:00,22,0,0.15,18.45,18.32,15.31
2024-01-08 23:00:00,23,0,0.15,15.91,12.8,18.73
2024-01-09 00:00:00,0,1,0.12,15.95,16.37,7.11
2024-01-09 01:00:00,1,1,0.17,13.39,8.5,8.02
2024-01-09 02:00:00,2,1,0.19,26.56,8.16,10.74
2024-01-09 03:00:00,3,1,0.16,31.14,9.33,7.69
2024-01-09 04:00:00,4,1,0.15,37.3,10.56,8.46
2024-01-09 05:00:00,5,1,0.13,44.32,13.68,7.23
2024-01-09 06:00:00,6,1,0.2,50.22,17.52,4.74
2024-01-09 07:00:00,7,1,0.16,61.36,26.66,7.2
2024-01-09 08:00:00,8,1,0.71,61.76,31.36,9.84
2024-01-09 09:00:00,9,1,0.86,65.59,28.24,9.69
2024-01-09 10:00:00,10,1,0.84,73.33,19.2,11.87
2024-01-09 11:00:00,11,1,0.76,83.83,10.46,8.8
2024-01-09 12:00:00,12,1,0.78,79.37,10.77,11.54
2024-01-09 13:00:00,13,1,0.7,86.11,12.53,12.12
2024-01-09 14:00:00,14,1,0.78,82.67,9.13,10.29
2024-01-09 15:00:00,15,1,0.88,65.85,11.56,10.09
2024-01-09 16:00:00,16,1,0.75,65.93,10.4,14.53
2024-01-09 17:00:00,17,1,0.89,60.54,16.69,15.44
2024-01-09 18:00:00,18,1,0.82,54.59,18.21,0.0
2024-01-09 19:00:00,19,1,0.11,35.74,29.04,13.48
2024-01-09 20:00:00,20,1,0.2,35.74,35.96,12.64
2024-01-09 21:00:00,21,1,0.17,30.33,27.05,11.27
2024-01-09 22:00:00,22,1,0.2,33.23,13.6,12.91
2024-01-09 23:00:00,23,1,0.2,15.98,14.18,15.45
2024-01-10 00:00:00,0,2,0.16,29.29,4.7,4.81
2024-01-10 01:00:00,1,2,0.11,12.51,10.52,9.65
2024-01-10 02:00:00,2,2,0.2,29.57,15.3,8.24
2024-01-10 03:00:00,3,2,0.12,32.61,9.29,7.57
2024-01-10 04:00:00,4,2,0.12,28.96,16.55,10.45
2024-01-10 05:00:00,5,2,0.14,42.87,14.85,4.38
2024-01-10 06:00:00,6,2,0.15,53.78,15.18,10.37
2024-01-10 07:00:00,7,2,0.13,58.59,23.9,8.35
2024-01-10 08:00:00,8,2,0.82,66.27,31.87,7.31
2024-01-10 09:00:00,9,2,0.84,68.21,24.07,8.5
2024-01-10 10:00:00,10,2,0.79,72.98,20.44,7.61
2024-01-10 11:00:00,11,2,0.82,83.32,10.76,11.03
2024-01-10 12:00:00,12,2,0.84,84.12,11.08,11.35
2024-01-10 13:00:00,13,2,0.89,78.04,9.55,11.34
2024-01-10 14:00:00,14,2,0.79,76.49,12.86,10.67
2024-01-10 15:00:00,15,2,0.8,61.93,8.81,9.8
2024-01-10 16:00:00,16,2,0.74,70.48,9.2,15.23
2024-01-10 17:00:00,17,2,0.73,54.33,19.59,12.86
2024-01-10 18:00:00,18,2,0.87,54.13,20.18,0.0
2024-01-10 19:00:00,19,2,0.2,37.57,28.28,10.85
2024-01-10 20:00:00,20,2,0.13,40.55,29.82,15.01
2024-01-10 21:00:00,21,2,0.2,32.01,30.33,15.66
2024-01-10 22:00:00,22,2,0.11,25.1,15.78,17.39
2024-01-10 23:00:00,23,2,0.18,12.25,17.4,19.42
2024-01-11 00:00:00,0,3,0.15,17.78,8.5,3.82
2024-01-11 01:00:00,1,3,0.1,25.74,8.38,7.81
2024-01-11 02:00:00,2,3,0.13,27.29,8.03,5.11
2024-01-11 03:00:00,3,3,0.18,28.15,5.86,4.75
2024-01-11 04:00:00,4,3,0.16,24.19,14.93,9.56
2024-01-11 05:00:00,5,3,0.11,38.29,8.03,7.72
2024-01-11 06:00:00,6,3,0.15,53.28,22.21,8.29
2024-01-11 07:00:00,7,3,0.18,66.97,20.63,9.7
2024-01-11 08:00:00,8,3,0.72,76.49,26.73,6.85
2024-01-11 09:00:00,9,3,0.81,73.82,28.32,8.21
2024-01-11 10:00:00,10,3,0.82,74.19,14.78,9.53
2024-01-11 11:00:00,11,3,0.85,80.72,9.0,11.18
2024-01-11 12:00:00,12,3,0.9,71.31,11.78,12.56
2024-01-11 13:00:00,13,3,0.72,78.97,7.81,12.19
2024-01-11 14:00:00,14,3,0.9,78.32,11.2,12.37
2024-01-11 15:00:00,15,3,0.87,69.6,8.45,9.8
2024-01-11 16:00:00,16,3,0.8,60.05,10.3,13.84
2024-01-11 17:00:00,17,3,0.77,46.7,11.92,15.59
2024-01-11 18:00:00,18,3,0.87,53.03,18.77,0.0
2024-01-11 19:00:00,19,3,0.15,39.44,34.23,18.0
2024-01-11 20:00:00,20,3,0.17,33.76,38.88,13.49
2024-01-11 21:00:00,21,3,0.11,26.09,27.87,12.99
2024-01-11 22:00:00,22,3,0.19,26.61,19.78,16.49
2024-01-11 23:00:00,23,3,0.16,19.65,11.27,15.47
2024-01-12 00:00:00,0,4,0.17,27.04,10.82,4.53
2024-01-12 01:00:00,1,4,0.15,26.26,8.18,3.6
2024-01-12 02:00:00,2,4,0.19,24.8,11.01,4.42
2024-01-12 03:00:00,3,4,0.1,24.52,8.98,5.83
2024-01-12 04:00:00,4,4,0.16,33.99,8.15,10.01
2024-01-12 05:00:00,5,4,0.12,31.99,10.4,7.23
2024-01-12 06:00:00,6,4,0.19,51.2,15.91,6.94
2024-01-12 07:00:00,7,4,0.14,63.15,27.69,11.64
2024-01-12 08:00:00,8,4,0.83,61.62,38.75,5.97
2024-01-12 09:00:00,9,4,0.76,64.63,23.42,11.6
2024-01-12 10:00:00,10,4,0.7,80.41,16.27,10.06
2024-01-12 11:00:00,11,4,0.72,73.9,12.45,11.33
2024-01-12 12:00:00,12,4,0.9,82.27,10.39,6.37
2024-01-12 13:00:00,13,4,0.88,66.69,12.55,13.51
2024-01-12 14:00:00,14,4,0.86,73.62,15.41,11.96
2024-01-12 15:00:00,15,4,0.74,60.27,5.72,12.81
2024-01-12 16:00:00,16,4,0.74,66.45,6.82,10.92
2024-01-12 17:00:00,17,4,0.85,50.65,12.56,11.81
2024-01-12 18:00:00,18,4,0.7,58.38,14.86,0.0
2024-01-12 19:00:00,19,4,0.18,51.42,30.26,13.64
2024-01-12 20:00:00,20,4,0.14,44.22,35.53,13.42
2024-01-12 21:00:00,21,4,0.18,25.28,30.63,14.64
2024-01-12 22:00:00,22,4,0.14,23.29,17.88,14.53
2024-01-12 23:00:00,23,4,0.13,17.91,12.7,17.67
2024-01-13 00:00:00,0,5,0.16,10.41,7.13,9.08
2024-01-13 01:00:00,1,5,0.15,10.42,8.31,10.35
2024-01-13 02:00:00,2,5,0.13,16.57,1.2,4.93
2024-01-13 03:00:00,3,5,0.19,20.37,10.14,8.25
2024-01-13 04:00:00,4,5,0.17,31.17,7.25,6.53
2024-01-13 05:00:00,5,5,0.18,25.35,5.52,8.93
2024-01-13 06:00:00,6,5,0.12,41.95,17.74,13.36
2024-01-13 07:00:00,7,5,0.12,49.35,20.09,13.46
2024-01-13 08:00:00,8,5,0.46,53.55,19.41,11.18
2024-01-13 09:00:00,9,5,0.46,33.83,18.75,12.16
2024-01-13 10:00:00,10,5,0.47,56.28,16.08,11.58
2024-01-13 11:00:00,11,5,0.44,53.75,5.36,10.88
2024-01-13 12:00:00,12,5,0.3,50.56,7.72,11.25
2024-01-13 13:00:00,13,5,0.49,58.84,8.41,13.75
2024-01-13 14:00:00,14,5,0.38,53.58,8.96,16.24
2024-01-13 15:00:00,15,5,0.39,55.88,7.22,17.93
2024-01-13 16:00:00,16,5,0.45,40.81,9.3,15.36
2024-01-13 17:00:00,17,5,0.47,29.44,9.93,18.52
2024-01-13 18:00:00,18,5,0.48,39.7,17.57,0.0
2024-01-13 19:00:00,19,5,0.18,26.97,20.24,21.29
2024-01-13 20:00:00,20,5,0.18,30.07,30.62,19.99
2024-01-13 21:00:00,21,5,0.16,22.67,19.39,19.97
2024-01-13 22:00:00,22,5,0.14,10.51,16.01,22.32
2024-01-13 23:00:00,23,5,0.18,19.88,11.86,19.43
2024-01-14 00:00:00,0,6,0.19,0.0,15.64,5.93
2024-01-14 01:00:00,1,6,0.18,15.79,4.74,5.31
2024-01-14 02:00:00,2,6,0.2,26.59,4.81,5.19
2024-01-14 03:00:00,3,6,0.19,15.67,3.2,6.89
2024-01-14 04:00:00,4,6,0.17,21.39,2.59,12.49
2024-01-14 05:00:00,5,6,0.12,26.75,8.27,12.24
2024-01-14 06:00:00,6,6,0.19,30.7,13.24,11.86
2024-01-14 07:00:00,7,6,0.12,35.29,14.11,10.25
2024-01-14 08:00:00,8,6,0.35,41.09,22.37,12.85
2024-01-14 09:00:00,9,6,0.44,51.35,14.2,12.73
2024-01-14 10:00:00,10,6,0.31,62.02,13.04,11.37
2024-01-14 11:00:00,11,6,0.39,43.5,11.82,8.24
2024-01-14 12:00:00,12,6,0.49,54.57,9.49,11.77
2024-01-14 13:00:00,13,6,0.42,56.32,8.06,14.8
2024-01-14 14:00:00,14,6,0.37,65.79,5.64,15.65
2024-01-14 15:00:00,15,6,0.32,44.64,10.62,17.94
2024-01-14 16:00:00,16,6,0.38,50.56,9.19,17.07
2024-01-14 17:00:00,17,6,0.42,37.55,8.32,15.26
2024-01-14 18:00:00,18,6,0.48,35.36,13.75,0.0
2024-01-14 19:00:00,19,6,0.16,23.84,22.2,22.76
2024-01-14 20:00:00,20,6,0.17,19.23,32.86,18.69
2024-01-14 21:00:00,21,6,0.1,15.12,25.45,17.26
2024-01-14 22:00:00,22,6,0.1,17.31,12.02,21.19
2024-01-14 23:00:00,23,6,0.19,12.45,8.43,20.48
2024-01-15 00:00:00,0,0,0.15,12.3,10.68,2.14
2024-01-15 01:00:00,1,0,0.19,27.0,11.46,7.26
2024-01-15 02:00:00,2,0,0.19,25.0,10.61,6.85
2024-01-15 03:00:00,3,0,0.11,33.28,7.47,7.35
2024-01-15 04:00:00,4,0,0.12,26.75,13.2,8.69
2024-01-15 05:00:00,5,0,0.16,47.23,13.56,11.21
2024-01-15 06:00:00,6,0,0.15,51.07,15.85,11.04
2024-01-15 07:00:00,7,0,0.12,49.71,25.76,8.47
2024-01-15 08:00:00,8,0,0.79,72.42,30.5,10.09
2024-01-15 09:00:00,9,0,0.88,75.64,27.62,6.23
2024-01-15 10:00:00,10,0,0.9,71.04,18.42,15.34
2024-01-15 11:00:00,11,0,0.81,78.16,10.98,10.43
2024-01-15 12:00:00,12,0,0.86,89.0,8.52,12.66
2024-01-15 13:00:00,13,0,0.72,69.9,9.31,11.65
2024-01-15 14:00:00,14,0,0.74,76.09,8.19,11.28
2024-01-15 15:00:00,15,0,0.82,59.97,7.81,10.5
2024-01-15 16:00:00,16,0,0.77,66.57,14.85,12.78
2024-01-15 17:00:00,17,0,0.78,49.72,13.37,13.82
2024-01-15 18:00:00,18,0,0.74,55.82,21.98,0.0
2024-01-15 19:00:00,19,0,0.15,34.72,28.16,15.4
2024-01-15 20:00:00,20,0,0.13,26.52,37.94,15.37
2024-01-15 21:00:00,21,0,0.12,21.92,25.93,18.03
2024-01-15 22:00:00,22,0,0.14,23.65,20.6,15.8
2024-01-15 23:00:00,23,0,0.12,25.65,8.63,13.25
2024-01-16 00:00:00,0,1,0.12,28.33,12.83,4.86
2024-01-16 01:00:00,1,1,0.13,19.92,10.2,5.18
2024-01-16 02:00:00,2,1,0.11,24.81,7.02,8.48
2024-01-16 03:00:00,3,1,0.14,30.7,9.46,8.3
2024-01-16 04:00:00,4,1,0.12,36.15,6.85,5.54
2024-01-16 05:00:00,5,1,0.11,40.93,10.39,8.26
2024-01-16 06:00:00,6,1,0.1,48.91,17.05,9.57
2024-01-16 07:00:00,7,1,0.13,68.27,19.1,6.74
2024-01-16 08:00:00,8,1,0.89,62.47,32.53,6.16
2024-01-16 09:00:00,9,1,0.77,72.06,28.93,8.48
2024-01-16 10:00:00,10,1,0.89,73.36,21.43,7.75
2024-01-16 11:00:00,11,1,0.77,83.8,9.52,10.99
2024-01-16 12:00:00,12,1,0.85,82.75,6.28,10.51
2024-01-16 13:00:00,13,1,0.85,77.44,10.73,9.73
2024-01-16 14:00:00,14,1,0.83,69.11,8.71,13.79
2024-01-16 15:00:00,15,1,0.79,69.43,11.37,10.56
2024-01-16 16:00:00,16,1,0.71,71.81,9.39,11.8
2024-01-16 17:00:00,17,1,0.8,58.81,12.68,13.28
2024-01-16 18:00:00,18,1,0.74,49.33,15.9,0.0
2024-01-16 19:00:00,19,1,0.11,38.49,28.67,10.93
2024-01-16 20:00:00,20,1,0.13,41.01,30.2,11.81
2024-01-16 21:00:00,21,1,0.15,28.85,27.43,14.98
2024-01-16 22:00:00,22,1,0.15,26.18,19.23,17.54
2024-01-16 23:00:00,23,1,0.19,23.46,15.73,16.81
2024-01-17 00:00:00,0,2,0.19,24.2,5.19,1.95
2024-01-17 01:00:00,1,2,0.19,24.44,10.69,7.27
2024-01-17 02:00:00,2,2,0.11,41.04,7.46,7.54
2024-01-17 03:00:00,3,2,0.18,35.96,8.89,4.49
2024-01-17 04:00:00,4,2,0.19,31.15,6.02,7.37
2024-01-17 05:00:00,5,2,0.1,36.65,11.43,5.55
2024-01-17 06:00:00,6,2,0.19,47.34,20.36,10.41
2024-01-17 07:00:00,7,2,0.1,54.73,25.12,5.25
2024-01-17 08:00:00,8,2,0.79,55.78,24.54,9.87
2024-01-17 09:00:00,9,2,0.81,78.77,26.82,10.46
2024-01-17 10:00:00,10,2,0.78,77.32,19.21,8.38
2024-01-17 11:00:00,11,2,0.87,80.63,14.25,7.61
2024-01-17 12:00:00,12,2,0.72,80.11,8.52,12.52
2024-01-17 13:00:00,13,2,0.73,85.07,10.78,14.43
2024-01-17 14:00:00,14,2,0.81,75.03,10.52,14.68
2024-01-17 15:00:00,15,2,0.88,64.89,11.97,14.13
2024-01-17 16:00:00,16,2,0.82,62.32,14.11,11.79
2024-01-17 17:00:00,17,2,0.7,55.33,10.36,13.84
2024-01-17 18:00:00,18,2,0.86,51.24,22.66,0.0
2024-01-17 19:00:00,19,2,0.16,52.01,27.28,13.92
2024-01-17 20:00:00,20,2,0.1,25.01,36.26,14.29
2024-01-17 21:00:00,21,2,0.17,19.15,32.46,14.68
2024-01-17 22:00:00,22,2,0.19,22.41,19.84,19.3
2024-01-17 23:00:00,23,2,0.19,27.24,13.11,14.6
2024-01-18 00:00:00,0,3,0.17,22.63,15.11,1.84
2024-01-18 01:00:00,1,3,0.13,11.33,13.4,5.95
2024-01-18 02:00:00,2,3,0.14,14.53,10.13,6.77
2024-01-18 03:00:00,3,3,0.15,32.27,8.58,7.72
2024-01-18 04:00:00,4,3,0.11,37.74,14.57,8.39
2024-01-18 05:00:00,5,3,0.16,45.18,12.48,5.54
2024-01-18 06:00:00,6,3,0.16,42.67,19.86,10.86
2024-01-18 07:00:00,7,3,0.12,60.94,31.99,6.65
2024-01-18 08:00:00,8,3,0.72,66.23,33.07,13.03
2024-01-18 09:00:00,9,3,0.78,72.14,29.85,6.96
2024-01-18 10:00:00,10,3,0.8,86.16,15.59,10.86
2024-01-18 11:00:00,11,3,0.81,77.05,16.36,12.66
2024-01-18 12:00:00,12,3,0.77,84.94,10.04,14.67
2024-01-18 13:00:00,13,3,0.75,88.97,12.12,8.08
